timestamp,total_cpu_percent,available_memory_mb,backend_cpu_seconds,backend_working_set_mb,k6_cpu_seconds,k6_working_set_mb
2026-08-14T15:55:43.9056651+07:00,10.41,4018,0.328,48.28,0.062,29.42
2026-08-14T15:55:50.6688462+07:00,29.41,4148,0.438,44.41,0.078,30.62
2026-08-14T15:55:56.7071365+07:00,12.23,4001,0.453,44.92,0.078,31.34
2026-08-14T15:56:02.7330035+07:00,25.1,4064,0.5,45.19,0.109,31.47
2026-08-14T15:56:08.8528633+07:00,7.06,4083,0.531,45.46,0.141,31.52
2026-08-14T15:56:14.8956940+07:00,16.28,4103,0.594,45.96,0.219,31.5
2026-08-14T15:56:20.9439993+07:00,0.18,4090,0.609,46.23,0.359,31.55
2026-08-14T15:56:27.0158045+07:00,17.44,4108,0.672,46.55,0.406,31.56
2026-08-14T15:56:33.0604450+07:00,22.69,4121,0.734,46.8,0.453,31.64
2026-08-14T15:56:39.1128043+07:00,23.37,4118,0.812,46.96,0.578,31.67
2026-08-14T15:56:45.1547602+07:00,0,4147,0.906,46.96,0.672,31.68
2026-08-14T15:56:51.1825138+07:00,26.53,4150,1.047,47.49,0.75,31.73
2026-08-14T15:56:57.2602487+07:00,0,4129,1.141,47.95,0.859,31.83
2026-08-14T15:57:03.2947441+07:00,10.94,4099,1.203,48.01,0.984,32.08
2026-08-14T15:57:09.3449248+07:00,59.91,4114,1.344,48.2,1.047,32.09
2026-08-14T15:57:15.4262820+07:00,0,4115,1.406,48.38,1.172,32.15
2026-08-14T15:57:21.4851180+07:00,0,4128,1.547,48.58,1.281,32.17
2026-08-14T15:57:27.5747158+07:00,23.34,4101,1.609,48.83,1.406,32.22
2026-08-14T15:57:33.6372461+07:00,14.67,4068,1.719,49.01,1.469,32.3
2026-08-14T15:57:39.6942843+07:00,17.9,4061,1.906,49.23,1.547,32.41
2026-08-14T15:57:45.7492971+07:00,0.86,4006,2.094,49.49,1.594,32.47
2026-08-14T15:57:51.8564514+07:00,21.94,4005,2.203,49.68,1.641,32.71
2026-08-14T15:57:57.9018259+07:00,8.72,3970,2.234,49.88,1.672,32.73
2026-08-14T15:58:03.9678059+07:00,22.84,4002,2.375,50.12,1.719,32.84
2026-08-14T15:58:10.0051698+07:00,2.92,4042,2.516,50.3,1.812,32.86
2026-08-14T15:58:16.0954198+07:00,0,4002,2.609,50.34,1.859,32.86
2026-08-14T15:58:22.1177552+07:00,14.29,3954,2.766,50.58,2.016,32.89
2026-08-14T15:58:28.1574204+07:00,0,3938,2.984,50.78,2.062,33.27
2026-08-14T15:58:34.2017247+07:00,0,3949,3.062,50.99,2.125,33.29
2026-08-14T15:58:40.2367562+07:00,31.98,3912,3.266,51.41,2.172,33.3
2026-08-14T15:58:46.3092033+07:00,26.56,3949,3.359,51.65,2.328,33.56
2026-08-14T15:58:52.3647645+07:00,22.08,4000,3.578,52.18,2.422,33.62
2026-08-14T15:58:58.4264312+07:00,0,3981,3.719,52.1,2.469,33.62
2026-08-14T15:59:04.4750560+07:00,11.3,3994,3.938,52.53,2.609,33.62
2026-08-14T15:59:10.5859264+07:00,21.41,3840,4,52.53,2.641,33.63
2026-08-14T15:59:16.6086513+07:00,36.09,3900,4.031,52.89,2.734,33.65
2026-08-14T15:59:22.6495142+07:00,15.36,4013,4.234,53.5,2.812,33.66
2026-08-14T15:59:28.7139130+07:00,0,4126,4.344,53.56,2.828,33.66
2026-08-14T15:59:34.8181373+07:00,32.31,4141,4.594,53.75,2.891,33.67
2026-08-14T15:59:40.8399425+07:00,5.09,4139,4.672,53.94,2.984,33.68
2026-08-14T15:59:46.8890461+07:00,4.44,3987,4.844,54.05,3.141,33.68
2026-08-14T15:59:52.9557831+07:00,11.74,3966,5,54.86,3.359,33.7
2026-08-14T15:59:59.0186784+07:00,0,4064,5.172,54.72,3.391,33.73
2026-08-14T16:00:05.0841942+07:00,0,4071,5.328,54.9,3.516,33.73
2026-08-14T16:00:11.1549556+07:00,14.26,4078,5.531,54.98,3.578,33.74
2026-08-14T16:00:17.1963299+07:00,17.27,4095,5.734,54.98,3.672,33.76
2026-08-14T16:00:23.2449961+07:00,22.84,4116,5.969,54.87,3.797,33.76
2026-08-14T16:00:29.3732107+07:00,22.47,4261,6.141,54.89,3.922,33.77
2026-08-14T16:00:35.4101045+07:00,7.11,4193,6.188,54.89,3.938,33.78
2026-08-14T16:00:41.4629678+07:00,20.7,3982,6.312,54.89,4.047,33.78
2026-08-14T16:00:47.5345648+07:00,0,3983,6.344,54.95,4.047,33.89
2026-08-14T16:00:53.5593839+07:00,21.48,4081,6.406,55.2,4.062,33.91
2026-08-14T16:00:59.5780496+07:00,22.37,4131,6.516,55.12,4.062,33.95
2026-08-14T16:01:05.5935903+07:00,13.86,4158,6.594,55.12,4.062,33.96
2026-08-14T16:01:11.6186627+07:00,27.65,4163,6.625,55.24,4.078,33.96
2026-08-14T16:01:17.6598203+07:00,14.47,4187,6.703,55.24,4.094,33.98
2026-08-14T16:01:23.6852453+07:00,25.82,4184,6.781,55.24,4.094,33.98
2026-08-14T16:01:29.7182022+07:00,10.9,4154,6.797,55.24,4.094,33.98
2026-08-14T16:01:35.7430360+07:00,11.4,4167,6.828,55.36,4.172,33.98
2026-08-14T16:01:41.7822151+07:00,24.17,4178,6.844,55.36,4.203,34.07
2026-08-14T16:01:47.8089795+07:00,26.37,4214,6.906,55.28,4.234,34.1
2026-08-14T16:01:53.8263683+07:00,0,4234,6.969,55.28,4.234,34.1
2026-08-14T16:01:59.8431163+07:00,11.05,4235,7,55.36,4.234,34.11
