"timestamp","elapsed_seconds","k6_running","backend_running","k6_cpu_percent","backend_cpu_percent","k6_working_set_mb","backend_working_set_mb","available_memory_mb","raw_result_bytes"
"2026-08-15T19:14:31.8603590+07:00","0","True","True","0","0","36.96","47.54","5843","214680"
"2026-08-15T19:14:43.2532443+07:00","11.4","True","True","0.11","0.17","37.29","48.52","6108","408653"
"2026-08-15T19:14:54.2871802+07:00","22.4","True","True","0.15","0.24","37.71","49.81","5984","693465"
"2026-08-15T19:15:05.3113872+07:00","33.5","True","True","0.24","0.26","39.02","51.66","5737","1048639"
"2026-08-15T19:15:16.3738397+07:00","44.5","True","True","0.22","0.38","39.91","53.66","5633","1461769"
"2026-08-15T19:15:27.3993598+07:00","55.5","True","True","0.17","0.21","41.81","54.11","5967","1872666"
"2026-08-15T19:15:38.4180191+07:00","66.6","True","True","0.2","0.31","42.71","54.48","5900","2301300"
"2026-08-15T19:15:49.4468759+07:00","77.6","True","True","0.13","0.21","43.32","54.45","5801","2681031"
"2026-08-15T19:16:00.4730914+07:00","88.6","True","True","0.17","0.2","43.4","54.78","5719","3090089"
"2026-08-15T19:16:11.5027811+07:00","99.7","True","True","0.14","0.4","43.45","56.19","5599","3494119"
"2026-08-15T19:16:22.5453957+07:00","110.7","True","True","0.18","0.34","43.52","56.15","5894","3913749"
"2026-08-15T19:16:33.5974905+07:00","121.7","True","True","0.16","0.25","43.53","56.33","5788","4340772"
"2026-08-15T19:16:44.6256774+07:00","132.8","True","True","0.19","0.24","43.8","56.42","5704","4731781"
"2026-08-15T19:16:55.6527793+07:00","143.8","True","True","0.17","0.22","44.5","56.89","5611","5116736"
"2026-08-15T19:17:06.6751677+07:00","154.8","True","True","0.24","0.26","44.53","56.55","5882","5496250"
"2026-08-15T19:17:17.7024411+07:00","165.8","True","True","0.13","0.32","44.55","56.69","5778","5917474"
"2026-08-15T19:17:28.7438963+07:00","176.9","True","True","0.15","0.25","44.57","56.99","5678","6308699"
"2026-08-15T19:17:39.7702657+07:00","187.9","True","True","0.19","0.19","44.59","56.7","5569","6715837"
"2026-08-15T19:17:50.7970737+07:00","198.9","True","True","0.15","0.26","44.66","56.96","5889","7109887"
"2026-08-15T19:18:01.8261736+07:00","210","True","True","0.15","0.31","44.73","56.98","5815","7492609"
"2026-08-15T19:18:12.8555718+07:00","221","True","True","0.15","0.27","44.84","57.16","5707","7900737"
"2026-08-15T19:18:23.8871382+07:00","232","True","True","0.17","0.3","44.85","57","5587","8276048"
"2026-08-15T19:18:34.9217115+07:00","243.1","True","True","0.15","0.21","44.87","56.98","5714","8655873"
"2026-08-15T19:18:45.9488548+07:00","254.1","True","True","0.14","0.3","44.91","57.16","5610","9080174"
"2026-08-15T19:18:56.9689959+07:00","265.1","True","True","0.2","0.17","45.56","57.52","5531","9489780"
"2026-08-15T19:19:08.0042209+07:00","276.2","True","True","0.12","0.21","45.84","57.27","5856","9894995"
"2026-08-15T19:19:19.0282908+07:00","287.2","True","True","0.15","0.39","45.84","57.59","5751","10294825"
"2026-08-15T19:19:30.0376064+07:00","298.2","True","True","0.18","0.3","45.88","57.45","5632","10686952"
"2026-08-15T19:19:41.0724645+07:00","309.2","True","True","0.19","0.31","45.9","57.58","5541","11106800"
"2026-08-15T19:19:52.0920366+07:00","320.2","True","True","0.2","0.45","46.14","58.2","5455","11522883"
"2026-08-15T19:20:03.1330316+07:00","331.3","True","True","0.11","0.27","46.22","57.91","5788","11901051"
"2026-08-15T19:20:14.1647808+07:00","342.3","True","True","0.12","0.3","46.25","58.21","5601","12312524"
"2026-08-15T19:20:25.1826750+07:00","353.3","True","True","0.14","0.38","46.25","58.22","5530","12728478"
"2026-08-15T19:20:36.2172316+07:00","364.4","True","True","0.09","0.33","46.45","57.86","5837","13109725"
"2026-08-15T19:20:47.2374598+07:00","375.4","True","True","0.06","0.21","46.52","49.5","5726","13508723"
"2026-08-15T19:20:58.2585039+07:00","386.4","True","True","0.13","0.3","46.52","50.91","5587","13904084"
"2026-08-15T19:21:09.2919145+07:00","397.4","True","True","0.07","0.33","46.54","52.42","5454","14335765"
"2026-08-15T19:21:20.3222325+07:00","408.5","True","True","0.14","0.39","46.58","53.75","5847","14719929"
"2026-08-15T19:21:31.3407857+07:00","419.5","True","True","0.15","0.2","46.64","55.29","5674","15119334"
"2026-08-15T19:21:42.3760919+07:00","430.5","True","True","0.24","0.24","46.64","56.52","5468","15521945"
"2026-08-15T19:21:53.3963544+07:00","441.5","True","True","0.25","0.33","47.12","56.7","5793","15947120"
"2026-08-15T19:22:04.4180217+07:00","452.6","True","True","0.26","0.5","47.14","57.14","5831","16351071"
"2026-08-15T19:22:15.4383278+07:00","463.6","True","True","0.06","0.25","47.29","57.07","5713","16732342"
